Zona;Provincia;Canton;Distrito;Circuito;Fecha Infracción;Hora Infracción;tipo_muert_matriz;Edad;Sexo;Estado Civil;Nacionalidad
ZONA 8;GUAYAS;DURAN;DURAN;ARBOLITO;17/01/2014;2:30;Asesinatos;21;MASCULINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;SANTA MARTHA;08/03/2014;20:00;Asesinatos;59;MASCULINO;SOLTERO;ECUADOR
ZONA 4;MANABI;PEDERNALES;PEDERNALES;PEDERNALES SUR;17/05/2014;18:31;Asesinatos;29;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;NUEVA PROSPERINA;FORTIN;12/01/2014;6:30;Asesinatos;28;MASCULINO;SOLTERO;ECUADOR
ZONA 7;EL_ORO;MACHALA;MACHALA;CRISTO DEL CONSUELO;28/04/2014;21:30;Asesinatos;;MASCULINO;SOLTERO;PERU
ZONA 8;GUAYAS;GUAYAQUIL;9 DE OCTUBRE;VENEZUELA;26/01/2014;8:00;Asesinatos;40;MASCULINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;RIO_VERDE;RIO VERDE;MONTALVO;27/04/2014;12:20;Asesinatos;36;MASCULINO;SOLTERO;ECUADOR
ZONA 5;GUAYAS;MILAGRO;MILAGRO;SAN MIGUEL;07/04/2014;13:30;Sicariatos;34;MASCULINO;UNION LIBRE;ECUADOR
ZONA 5;LOS_RIOS;MOCACHE;QUEVEDO;MOCACHE;02/02/2014;22:00;Asesinatos;31;MASCULINO;SOLTERO;ECUADOR
ZONA 7;EL_ORO;MACHALA;MACHALA;CRISTO DEL CONSUELO;28/04/2014;21:30;Asesinatos;27;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;FLORESTA;02/01/2014;11:30;Asesinatos;14;MASCULINO;SOLTERO;ECUADOR
ZONA 4;MANABI;JARAMIJO;MANTA;JARAMIJO;08/02/2014;22:00;Asesinatos;42;MASCULINO;DIVORCIADO;ECUADOR
ZONA 7;EL_ORO;PASAJE;PASAJE;VELASCO IBARRA;16/01/2014;23:30;Asesinatos;42;MASCULINO;DIVORCIADO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;9 DE OCTUBRE;CRISTO DEL CONSUELO;08/01/2014;6:00;Asesinatos;39;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PORTETE;PORTETE;04/01/2014;0:30;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;FLORESTA;12/01/2014;;Asesinatos;35;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;NUEVA PROSPERINA;MONTE SINAI;03/03/2014;1:10;Asesinatos;35;MASCULINO;SOLTERO;ECUADOR
